ID,IID,Title,Description,Type,URL,State,Confidential,Locked,Milestone,Labels,Author,Author Username,Assignee,Assignee Username,Created At (UTC),Updated At (UTC),Closed At (UTC),Due Date,Start Date,Parent ID,Parent IID,Parent Title,Time Estimate,Time Spent,Weight
10144,17,"Als Nutzer will ich alle Zettel als interaktiven Graphen mit automatischer Positionierung sehen, damit ich sofort erkenne, welche Zettel miteinander verbunden sind.","Ein force-gerichtetes Layout ordnet alle Zettel automatisch anhand ihrer Verknüpfungen an. So entstehen natürliche Cluster, zentrale Hubs vieler miteinander verknüpfter Zettel rücken in die Mitte, und isolierte Zettel an den Rand.",Issue,https://gitlab.win.hs-heilbronn.de/sprachmann/zettelweb/-/issues/17,Open,No,No,,"",Heinrich Sprachmann,sprachmann,"","",2025-11-19 10:54:12,2025-11-19 10:54:12,,,,,,,,,
10145,18,"Als Nutzer will ich Verbindungen zwischen Zetteln als Linien sehen, damit ich Verknüpfungen erkenne.","Verbindungen werden als klare Linien zwischen den zugehörigen Zetteln dargestellt, damit die Netzstruktur sofort erkennbar ist. Optionales Hover kann die beteiligten Zettel hervorheben.",Issue,https://gitlab.win.hs-heilbronn.de/sprachmann/zettelweb/-/issues/18,Open,No,No,,"",Heinrich Sprachmann,sprachmann,"","",2025-11-19 10:55:15,2025-11-19 10:55:15,,,,,,,,,
10148,19,"Als Nutzer will ich beim Öffnen automatisch den Graphen geladen bekommen, damit ich sofort explorieren kann.","Beim Öffnen lädt die App den Graphen automatisch und macht ihn innerhalb weniger Sekunden nutzbar. Gespeicherte Positionen werden übernommen, sonst startet die Layout-Simulation; ein kurzer Loading-Status bietet Feedback.",Issue,https://gitlab.win.hs-heilbronn.de/sprachmann/zettelweb/-/issues/19,Open,No,No,,"",Heinrich Sprachmann,sprachmann,"","",2025-11-19 10:58:15,2025-11-19 10:58:15,,,,,,,,,
10149,20,"Als Nutzer will ich durch Klick auf einen Zettel dessen Inhalt sehen, damit ich Informationen lesen kann.","Ein Klick auf einen Zettel öffnet eine Detailansicht mit Titel, Inhalt und Metadaten. Verknüpfte Zettel sind dort anklickbar, um schnell im Kontext zu navigieren; diese Ansicht ist read-only.",Issue,https://gitlab.win.hs-heilbronn.de/sprachmann/zettelweb/-/issues/20,Open,No,No,,"",Heinrich Sprachmann,sprachmann,"","",2025-11-19 10:59:59,2025-11-19 10:59:59,,,,,,,,,
10150,21,"Als Nutzer will ich Zettel mit der Maus verschieben können, damit ich die Anordnung anpassen kann.","Zettel lassen sich per Drag & Drop manuell umpositionieren. Beim Loslassen werden die neuen Koordinaten gespeichert, damit das individuell kuratierte Layout erhalten bleibt; visuelles Feedback zeigt den aktiven Drag an.",Issue,https://gitlab.win.hs-heilbronn.de/sprachmann/zettelweb/-/issues/21,Open,No,No,,"",Heinrich Sprachmann,sprachmann,"","",2025-11-19 11:01:08,2025-11-19 11:01:08,,,,,,,,,
10151,22,"Als Nutzer will ich den Graphen zoomen und verschieben können, damit ich navigieren kann.","Nutzer können zoomen und den Graphen verschieben, um zwischen Überblick und Detail zu wechseln. Ein „Fit to View“ bringt die Gesamtansicht schnell zurück.",Issue,https://gitlab.win.hs-heilbronn.de/sprachmann/zettelweb/-/issues/22,Open,No,No,,"",Heinrich Sprachmann,sprachmann,"","",2025-11-19 11:02:24,2025-11-19 11:02:24,,,,,,,,,
10152,23,"Als Nutzer will ich nach Tags filtern können, damit ich nur Zettel zu einem Thema sehe.","Zettel lassen sich nach Tags filtern, um thematische Teilmengen anzuzeigen. Mehrfachauswahl (UND) fokussiert die Sicht auf relevante Inhalte; der Filterzustand bleibt erhalten.",Issue,https://gitlab.win.hs-heilbronn.de/sprachmann/zettelweb/-/issues/23,Open,No,No,,"",Heinrich Sprachmann,sprachmann,"","",2025-11-19 11:05:53,2025-11-19 11:05:53,,,,,,,,,
10153,24,"Als Nutzer will ich bei Tag-Filter auch verbundene Zettel außerhalb sehen (semi-transparent), damit ich Zusammenhänge erkenne.","Bei aktivem Tag-Filter bleiben externe, verbundene Zettel halbtransparent sichtbar, damit der Kontext nicht verloren geht. Linien zu halbtransparenten Knoten werden dezenter dargestellt.",Issue,https://gitlab.win.hs-heilbronn.de/sprachmann/zettelweb/-/issues/24,Open,No,No,,"",Heinrich Sprachmann,sprachmann,"","",2025-11-19 11:06:36,2025-11-19 11:06:36,,,,,,,,,
10154,25,"Als Nutzer will ich beim Hover sehen, welche Zettel verbunden sind, damit ich Zusammenhänge schnell erkenne.","Beim Hover über einen Zettel werden er und dessen direkt verbundene Zettel hervorgehoben, während andere abgedimmt werden. Der Fokus-Effekt verschwindet sofort beim Verlassen.",Issue,https://gitlab.win.hs-heilbronn.de/sprachmann/zettelweb/-/issues/25,Open,No,No,,"",Heinrich Sprachmann,sprachmann,"","",2025-11-19 11:08:23,2025-11-19 11:08:23,,,,,,,,,
10155,26,"Als Nutzer will ich, dass manuell verschobene Zettel bleiben, damit ich beim nächsten Öffnen die Anordnung wiederfinde.",Manuell verschobene Zettelpositionen werden automatisch persistent gespeichert. Beim erneuten Öffnen erscheinen Zettel an denselben Stellen; ein Reset setzt das Layout zurück.,Issue,https://gitlab.win.hs-heilbronn.de/sprachmann/zettelweb/-/issues/26,Open,No,No,,"",Heinrich Sprachmann,sprachmann,"","",2025-11-19 11:09:20,2025-11-19 11:09:20,,,,,,,,,
10156,27,"Als Nutzer will ich, dass Zoom, Pan und Filter gespeichert werden, damit ich an gleicher Stelle weitermache.","Zoom-Level, Pan-Position und aktive Tag-Filter werden dauerhaft gesichert. Nach einem Reload startet der Nutzer nahtlos an derselben Stelle weiter; „Reset View“ stellt die Standardansicht wieder her.",Issue,https://gitlab.win.hs-heilbronn.de/sprachmann/zettelweb/-/issues/27,Open,No,No,,"",Heinrich Sprachmann,sprachmann,"","",2025-11-19 11:10:14,2025-11-19 11:10:14,,,,,,,,,
